invoice_id,date,customer_name,gstin,hsn_code,taxable_value,cgst,sgst,igst,total,payment_id
INV-2026-0001,2026-08-01,Priya Sharma,27AABCU9603R1ZM,998399,491956,44276,44276,0,580508,pay_0000_00
INV-2026-0002,2026-08-01,Amit Patel,29AABCU9603R1ZN,998399,491956,44276,44276,0,580508,pay_0000_01
INV-2026-0003,2026-08-01,Amit Patel,07AABCU9603R1ZP,998314,640809,57672,57672,0,756153,pay_0001_00
INV-2026-0004,2026-08-01,Sneha Reddy,33AABCU9603R1ZQ,998313,640809,57672,57672,0,756153,pay_0001_01
INV-2026-0005,2026-08-01,Vikram Singh,06AABCU9603R1ZR,998412,640809,57672,57672,0,756153,pay_0001_02
INV-2026-0006,2026-08-03,Sneha Reddy,09AABCU9603R1ZS,998431,4624866,416237,416237,0,5457340,pay_0002_00
INV-2026-0007,2026-08-03,Vikram Singh,19AABCU9603R1ZT,998313,149978,13498,13498,0,176974,pay_0003_00
INV-2026-0008,2026-08-03,Ananya Gupta,36AABCU9603R1ZU,998399,149979,13498,13498,0,176975,pay_0003_01
INV-2026-0009,2026-08-04,Ananya Gupta,32AABCU9603R1ZV,998313,272599,24533,24533,0,321665,pay_0004_00
INV-2026-0010,2026-08-05,Rahul Mehta,21AABCU9603R1ZW,998431,1909119,171820,171820,0,2252759,pay_0005_00
INV-2026-0011,2026-08-06,Kavita Nair,24AABCU9603R1ZX,998313,1909119,171820,171820,0,2252759,pay_0005_01
INV-2026-0012,2026-08-06,Kavita Nair,08AABCU9603R1ZY,998399,1797573,161781,161781,0,2121135,pay_0006_00
INV-2026-0013,2026-08-06,Rohan Joshi,27AABCU9603R1ZM,998313,1797573,161781,161781,0,2121135,pay_0006_01
INV-2026-0014,2026-08-07,Rohan Joshi,29AABCU9603R1ZN,998412,2873559,258620,258620,0,3390799,pay_0007_00
INV-2026-0015,2026-08-08,Deepa Iyer,07AABCU9603R1ZP,998313,1530668,137760,137760,0,1806188,pay_0008_00
INV-2026-0016,2026-08-08,Arjun Kapoor,33AABCU9603R1ZQ,998412,1530669,137760,137760,0,1806189,pay_0008_01
INV-2026-0017,2026-08-09,Arjun Kapoor,06AABCU9603R1ZR,998313,1951967,175677,175677,0,2303321,pay_0009_00
INV-2026-0018,2026-08-09,Meera Verma,09AABCU9603R1ZS,998399,1951968,175677,175677,0,2303322,pay_0009_01
INV-2026-0019,2026-08-10,Meera Verma,19AABCU9603R1ZT,998314,1560284,140425,140425,0,1841134,pay_0010_00
INV-2026-0020,2026-08-10,Suresh Kumar,36AABCU9603R1ZU,998314,1560284,140425,140425,0,1841134,pay_0010_01
INV-2026-0021,2026-08-10,Neha Agarwal,32AABCU9603R1ZV,998412,1560284,140425,140425,0,1841134,pay_0010_02
INV-2026-0022,2026-08-12,Suresh Kumar,21AABCU9603R1ZW,998412,554344,49890,49890,0,654124,pay_0011_00
INV-2026-0023,2026-08-12,Neha Agarwal,24AABCU9603R1ZX,998314,554344,49890,49890,0,654124,pay_0011_01
INV-2026-0024,2026-08-12,Karthik Rao,08AABCU9603R1ZY,998399,554345,49891,49891,0,654127,pay_0011_02
INV-2026-0025,2026-08-12,Neha Agarwal,27AABCU9603R1ZM,998399,825854,74326,74326,0,974506,pay_0012_00
INV-2026-0026,2026-08-12,Karthik Rao,29AABCU9603R1ZN,998313,825854,74326,74326,0,974506,pay_0012_01
INV-2026-0027,2026-08-13,Pooja Desai,07AABCU9603R1ZP,998412,825854,74326,74326,0,974506,pay_0012_02
INV-2026-0028,2026-08-13,Karthik Rao,33AABCU9603R1ZQ,998399,3238729,291485,291485,0,3821699,pay_0013_00
INV-2026-0029,2026-08-15,Pooja Desai,06AABCU9603R1ZR,998431,1577651,141988,141988,0,1861627,pay_0014_00
INV-2026-0030,2026-08-14,Priya Sharma,09AABCU9603R1ZS,998313,1577652,141988,141988,0,1861628,pay_0014_01
INV-2026-0031,2026-08-16,Priya Sharma,19AABCU9603R1ZT,998313,742807,66852,66852,0,876511,pay_0015_00
INV-2026-0032,2026-08-16,Amit Patel,36AABCU9603R1ZU,998314,742808,66852,66852,0,876512,pay_0015_01
INV-2026-0033,2026-08-16,Amit Patel,32AABCU9603R1ZV,998412,3927719,353494,353494,0,4634707,pay_0016_00
INV-2026-0034,2026-08-17,Sneha Reddy,21AABCU9603R1ZW,998399,2696211,242658,242658,0,3181527,pay_0017_00
INV-2026-0035,2026-08-18,Vikram Singh,24AABCU9603R1ZX,998399,1602617,144235,144235,0,1891087,pay_0018_00
INV-2026-0036,2026-08-18,Ananya Gupta,08AABCU9603R1ZY,998313,1602617,144235,144235,0,1891087,pay_0018_01
INV-2026-0037,2026-08-18,Rahul Mehta,27AABCU9603R1ZM,998412,1602617,144235,144235,0,1891087,pay_0018_02
INV-2026-0038,2026-08-20,Ananya Gupta,29AABCU9603R1ZN,998412,3899128,350921,350921,0,4600970,pay_0019_00
INV-2026-0039,2026-08-21,Rahul Mehta,07AABCU9603R1ZP,998412,4759097,428318,428318,0,5615733,pay_0020_00
INV-2026-0040,2026-08-21,Kavita Nair,33AABCU9603R1ZQ,998314,3400414,306037,306037,0,4012488,pay_0021_00
